	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	NaN	2021	4	1	23	0	SPO_NO0143A_5_3173
1	NaN	2021	4	2	0	0	SPO_NO0143A_5_3173
2	NaN	2021	4	2	1	0	SPO_NO0143A_5_3173
3	NaN	2021	4	2	2	0	SPO_NO0143A_5_3173
4	NaN	2021	4	2	3	0	SPO_NO0143A_5_3173
5	NaN	2021	4	2	4	0	SPO_NO0143A_5_3173
6	NaN	2021	4	2	5	0	SPO_NO0143A_5_3173
7	NaN	2021	4	2	6	0	SPO_NO0143A_5_3173
8	NaN	2021	4	2	7	0	SPO_NO0143A_5_3173
9	NaN	2021	4	2	8	0	SPO_NO0143A_5_3173
10	NaN	2021	4	2	9	0	SPO_NO0143A_5_3173
11	NaN	2021	4	2	10	0	SPO_NO0143A_5_3173
12	NaN	2021	4	2	11	0	SPO_NO0143A_5_3173
13	NaN	2021	4	2	12	0	SPO_NO0143A_5_3173
14	NaN	2021	4	2	13	0	SPO_NO0143A_5_3173
15	NaN	2021	4	2	14	0	SPO_NO0143A_5_3173
16	NaN	2021	4	2	15	0	SPO_NO0143A_5_3173
17	NaN	2021	4	2	16	0	SPO_NO0143A_5_3173
18	NaN	2021	4	2	17	0	SPO_NO0143A_5_3173
19	NaN	2021	4	2	18	0	SPO_NO0143A_5_3173
20	NaN	2021	4	2	19	0	SPO_NO0143A_5_3173
21	NaN	2021	4	2	20	0	SPO_NO0143A_5_3173
22	NaN	2021	4	2	21	0	SPO_NO0143A_5_3173
23	NaN	2021	4	2	22	0	SPO_NO0143A_5_3173
24	NaN	2021	4	2	23	0	SPO_NO0143A_5_3173
25	NaN	2021	4	3	0	0	SPO_NO0143A_5_3173
26	NaN	2021	4	3	1	0	SPO_NO0143A_5_3173
27	NaN	2021	4	3	2	0	SPO_NO0143A_5_3173
28	NaN	2021	4	3	3	0	SPO_NO0143A_5_3173
29	NaN	2021	4	3	4	0	SPO_NO0143A_5_3173
30	NaN	2021	4	3	5	0	SPO_NO0143A_5_3173
31	NaN	2021	4	3	6	0	SPO_NO0143A_5_3173
32	NaN	2021	4	3	7	0	SPO_NO0143A_5_3173
33	NaN	2021	4	3	8	0	SPO_NO0143A_5_3173
34	NaN	2021	4	3	9	0	SPO_NO0143A_5_3173
35	NaN	2021	4	3	10	0	SPO_NO0143A_5_3173
36	NaN	2021	4	3	11	0	SPO_NO0143A_5_3173
37	NaN	2021	4	3	12	0	SPO_NO0143A_5_3173
38	NaN	2021	4	3	13	0	SPO_NO0143A_5_3173
39	NaN	2021	4	3	14	0	SPO_NO0143A_5_3173
40	NaN	2021	4	3	15	0	SPO_NO0143A_5_3173
41	NaN	2021	4	3	16	0	SPO_NO0143A_5_3173
42	NaN	2021	4	3	17	0	SPO_NO0143A_5_3173
43	NaN	2021	4	3	18	0	SPO_NO0143A_5_3173
44	NaN	2021	4	3	19	0	SPO_NO0143A_5_3173
45	NaN	2021	4	3	20	0	SPO_NO0143A_5_3173
46	NaN	2021	4	3	21	0	SPO_NO0143A_5_3173
47	NaN	2021	4	3	22	0	SPO_NO0143A_5_3173
48	NaN	2021	4	3	23	0	SPO_NO0143A_5_3173
49	NaN	2021	4	4	0	0	SPO_NO0143A_5_3173
50	NaN	2021	4	4	1	0	SPO_NO0143A_5_3173
51	NaN	2021	4	4	2	0	SPO_NO0143A_5_3173
52	NaN	2021	4	4	3	0	SPO_NO0143A_5_3173
53	NaN	2021	4	4	4	0	SPO_NO0143A_5_3173
54	NaN	2021	4	4	5	0	SPO_NO0143A_5_3173
55	NaN	2021	4	4	6	0	SPO_NO0143A_5_3173
56	NaN	2021	4	4	7	0	SPO_NO0143A_5_3173
57	NaN	2021	4	4	8	0	SPO_NO0143A_5_3173
58	NaN	2021	4	4	9	0	SPO_NO0143A_5_3173
59	NaN	2021	4	4	10	0	SPO_NO0143A_5_3173
60	NaN	2021	4	4	11	0	SPO_NO0143A_5_3173
61	NaN	2021	4	4	12	0	SPO_NO0143A_5_3173
62	NaN	2021	4	4	13	0	SPO_NO0143A_5_3173
63	NaN	2021	4	4	14	0	SPO_NO0143A_5_3173
64	NaN	2021	4	4	15	0	SPO_NO0143A_5_3173
65	NaN	2021	4	4	16	0	SPO_NO0143A_5_3173
66	NaN	2021	4	4	17	0	SPO_NO0143A_5_3173
67	NaN	2021	4	4	18	0	SPO_NO0143A_5_3173
68	NaN	2021	4	4	19	0	SPO_NO0143A_5_3173
69	NaN	2021	4	4	20	0	SPO_NO0143A_5_3173
70	NaN	2021	4	4	21	0	SPO_NO0143A_5_3173
71	NaN	2021	4	4	22	0	SPO_NO0143A_5_3173
72	NaN	2021	4	4	23	0	SPO_NO0143A_5_3173
73	NaN	2021	4	5	0	0	SPO_NO0143A_5_3173
74	NaN	2021	4	5	1	0	SPO_NO0143A_5_3173
75	NaN	2021	4	5	2	0	SPO_NO0143A_5_3173
76	NaN	2021	4	5	3	0	SPO_NO0143A_5_3173
77	NaN	2021	4	5	4	0	SPO_NO0143A_5_3173
78	NaN	2021	4	5	5	0	SPO_NO0143A_5_3173
79	NaN	2021	4	5	6	0	SPO_NO0143A_5_3173
80	NaN	2021	4	5	7	0	SPO_NO0143A_5_3173
81	NaN	2021	4	5	8	0	SPO_NO0143A_5_3173
82	NaN	2021	4	5	9	0	SPO_NO0143A_5_3173
83	NaN	2021	4	5	10	0	SPO_NO0143A_5_3173
84	NaN	2021	4	5	11	0	SPO_NO0143A_5_3173
85	NaN	2021	4	5	12	0	SPO_NO0143A_5_3173
86	NaN	2021	4	5	13	0	SPO_NO0143A_5_3173
87	NaN	2021	4	5	14	0	SPO_NO0143A_5_3173
88	NaN	2021	4	5	15	0	SPO_NO0143A_5_3173
89	NaN	2021	4	5	16	0	SPO_NO0143A_5_3173
90	NaN	2021	4	5	17	0	SPO_NO0143A_5_3173
91	NaN	2021	4	5	18	0	SPO_NO0143A_5_3173
92	NaN	2021	4	5	19	0	SPO_NO0143A_5_3173
93	NaN	2021	4	5	20	0	SPO_NO0143A_5_3173
94	NaN	2021	4	5	21	0	SPO_NO0143A_5_3173
95	NaN	2021	4	5	22	0	SPO_NO0143A_5_3173
96	NaN	2021	4	5	23	0	SPO_NO0143A_5_3173
97	NaN	2021	4	6	0	0	SPO_NO0143A_5_3173
98	NaN	2021	4	6	1	0	SPO_NO0143A_5_3173
99	NaN	2021	4	6	2	0	SPO_NO0143A_5_3173
