	Files_names	Nan_count	Longest_NaN_gap	Start_date	End_date	conc mean 2020	2020 days conc>50 (microg/m^3)	conc mean 2021	2021 days conc>50 (microg/m^3)	conc mean 2022	 2022 days conc>50 (microg/m^3)	conc mean 2023	 2023 days conc>50 (microg/m^3)	conc mean 2020 jan-june	conc mean 2021 jan-june	conc mean 2022 jan-june	conc mean 2023 jan-june
0	FI_5_15458_PM10_timeseries.txt	4928	2584	2020-01-01	2023-08-31	[2.6160545674237996]	0	[2.5016298460423885]	0	[2.799236787395003]	0	[2.9183007833269907]	0	2.3299055544264196	2.4243866762505286	3.3092182454350865	2.816509563776435
1	FI_5_15476_PM10_timeseries.txt	771	124	2020-01-01	2023-01-02	[9.356039875838057]	0	[9.356019333655082]	1	[8.623446709137331]	0	[4.17929366451613]	0	9.247007563496904	10.333887526882641	9.862358345805044	4.17929366451613
2	FI_5_15487_PM10_timeseries.txt	478	88	2020-01-01	2023-08-31	[9.140654659405904]	0	[10.388714115104381]	0	[9.421868511547796]	0	[10.067020258698706]	0	9.400709769116162	10.94191533108322	10.662037119652776	11.102377334289779
3	FI_5_15489_PM10_timeseries.txt	203	31	2020-01-01	2023-08-31	[8.515085906959774]	0	[7.725837920937693]	0	[7.82282667834253]	0	[8.195310225214996]	0	8.796499305465222	8.15812932648037	8.489002545106187	8.574681349572845
4	FI_5_15501_PM10_timeseries.txt	319	43	2020-01-01	2023-08-31	[9.12632182224548]	1	[9.398308761052354]	0	[8.021094354483813]	0	[8.916397318867617]	1	9.813253562864704	10.201820692332335	9.28670636102481	9.45344771447338
5	FI_5_15505_PM10_timeseries.txt	436	50	2020-01-01	2023-08-31	[16.0019938308055]	3	[19.950741775297168]	14	[18.13522789152243]	12	[20.536886363442346]	19	17.586232173024392	18.911403860356064	20.838853014387826	23.59053269347826
6	FI_5_15512_PM10_timeseries.txt	3150	2042	2020-01-01	2023-08-31	[13.642032007523648]	9	[12.50525341007278]	5	[11.695398211902356]	7	[15.593975119080017]	13	16.367918475882757	15.219757402584557	12.8961645986294	18.192502662505877
7	FI_5_15531_PM10_timeseries.txt	26	6	2020-01-01	2022-01-12	[8.740490304329377]	2	[9.429673214066401]	1	[6.723170135424351]	0	[nan]	0	9.44086119677279	11.297073729101383	6.723170135424354	
8	FI_5_15549_PM10_timeseries.txt	3152	3020	2020-01-01	2021-12-31	[9.046040253123413]	0	[9.485669908226784]	2	[nan]	0	[nan]	0	10.327915426891693	11.207443204473806		
9	FI_5_15554_PM10_timeseries.txt	814	543	2020-01-01	2023-01-02	[10.183411096546962]	3	[11.453129645019871]	2	[8.897743747862442]	0	[6.3660734411764714]	0	10.4666972861989	12.136969553491697	9.494157355976004	6.3660734411764714
10	FI_5_15557_PM10_timeseries.txt	322	95	2020-01-01	2023-08-31	[8.738614343722976]	1	[9.209711925486195]	0	[8.79687882012526]	2	[9.838755207429642]	0	9.512232693255923	10.572891002402974	10.586780263930235	10.625919693712577
11	FI_5_15578_PM10_timeseries.txt	792	327	2020-01-01	2023-08-31	[11.273383442585097]	1	[9.669963975215698]	3	[8.555521234759945]	2	[5.019141766342273]	0	10.862994218849165	9.934773065696731	7.389098475069444	5.157761296741051
12	FI_5_15584_PM10_timeseries.txt	103	31	2020-01-01	2023-08-31	[10.997083614637585]	8	[10.972229834323565]	6	[12.298480610890898]	11	[12.015128268675934]	5	13.392439859115692	14.495692233282655	16.445562056022148	13.437182893314892
