	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	5.42999999	2021	2	1	0	0	SPO-SE312888_00005_100
1	4.71	2021	2	1	1	0	SPO-SE312888_00005_100
2	3.98	2021	2	1	2	0	SPO-SE312888_00005_100
3	4.05999999	2021	2	1	3	0	SPO-SE312888_00005_100
4	3.39	2021	2	1	4	0	SPO-SE312888_00005_100
5	3.60999999	2021	2	1	5	0	SPO-SE312888_00005_100
6	3.75	2021	2	1	6	0	SPO-SE312888_00005_100
7	5.07	2021	2	1	7	0	SPO-SE312888_00005_100
8	5.57	2021	2	1	8	0	SPO-SE312888_00005_100
9	5.87999999	2021	2	1	9	0	SPO-SE312888_00005_100
10	2.91	2021	2	1	10	0	SPO-SE312888_00005_100
11	3.37	2021	2	1	11	0	SPO-SE312888_00005_100
12	3.33999999	2021	2	1	12	0	SPO-SE312888_00005_100
13	3.23	2021	2	1	13	0	SPO-SE312888_00005_100
14	2.29999999	2021	2	1	14	0	SPO-SE312888_00005_100
15	3.81	2021	2	1	15	0	SPO-SE312888_00005_100
16	4.04999999	2021	2	1	16	0	SPO-SE312888_00005_100
17	4.03	2021	2	1	17	0	SPO-SE312888_00005_100
18	4.58999999	2021	2	1	18	0	SPO-SE312888_00005_100
19	5.30999999	2021	2	1	19	0	SPO-SE312888_00005_100
20	8.98	2021	2	1	20	0	SPO-SE312888_00005_100
21	5.99	2021	2	1	21	0	SPO-SE312888_00005_100
22	6.00999999	2021	2	1	22	0	SPO-SE312888_00005_100
23	5.65	2021	2	1	23	0	SPO-SE312888_00005_100
24	5.00999999	2021	2	2	0	0	SPO-SE312888_00005_100
25	4.08999999	2021	2	2	1	0	SPO-SE312888_00005_100
26	3.39	2021	2	2	2	0	SPO-SE312888_00005_100
27	2.93	2021	2	2	3	0	SPO-SE312888_00005_100
28	2.29	2021	2	2	4	0	SPO-SE312888_00005_100
29	2.68	2021	2	2	5	0	SPO-SE312888_00005_100
30	2.94	2021	2	2	6	0	SPO-SE312888_00005_100
31	4.29	2021	2	2	7	0	SPO-SE312888_00005_100
32	4.17999999	2021	2	2	8	0	SPO-SE312888_00005_100
33	4.16999999	2021	2	2	9	0	SPO-SE312888_00005_100
34	3.95	2021	2	2	10	0	SPO-SE312888_00005_100
35	5.16999999	2021	2	2	11	0	SPO-SE312888_00005_100
36	4.84999999	2021	2	2	12	0	SPO-SE312888_00005_100
37	5.29999999	2021	2	2	13	0	SPO-SE312888_00005_100
38	3.58	2021	2	2	14	0	SPO-SE312888_00005_100
39	3.04999999	2021	2	2	15	0	SPO-SE312888_00005_100
40	3.04	2021	2	2	16	0	SPO-SE312888_00005_100
41	2.87	2021	2	2	17	0	SPO-SE312888_00005_100
42	3.21	2021	2	2	18	0	SPO-SE312888_00005_100
43	2.85999999	2021	2	2	19	0	SPO-SE312888_00005_100
44	3.25	2021	2	2	20	0	SPO-SE312888_00005_100
45	3.48	2021	2	2	21	0	SPO-SE312888_00005_100
46	3.43999999	2021	2	2	22	0	SPO-SE312888_00005_100
47	3.77999999	2021	2	2	23	0	SPO-SE312888_00005_100
48	3.45999999	2021	2	3	0	0	SPO-SE312888_00005_100
49	3.60999999	2021	2	3	1	0	SPO-SE312888_00005_100
50	3.39999999	2021	2	3	2	0	SPO-SE312888_00005_100
51	3.39999999	2021	2	3	3	0	SPO-SE312888_00005_100
52	4.0	2021	2	3	4	0	SPO-SE312888_00005_100
53	2.7	2021	2	3	5	0	SPO-SE312888_00005_100
54	3.43	2021	2	3	6	0	SPO-SE312888_00005_100
55	3.31	2021	2	3	7	0	SPO-SE312888_00005_100
56	4.41999999	2021	2	3	8	0	SPO-SE312888_00005_100
57	4.24	2021	2	3	9	0	SPO-SE312888_00005_100
58	3.62	2021	2	3	10	0	SPO-SE312888_00005_100
59	3.98	2021	2	3	11	0	SPO-SE312888_00005_100
60	4.91	2021	2	3	12	0	SPO-SE312888_00005_100
61	5.28	2021	2	3	13	0	SPO-SE312888_00005_100
62	4.41999999	2021	2	3	14	0	SPO-SE312888_00005_100
63	4.63999999	2021	2	3	15	0	SPO-SE312888_00005_100
64	5.29	2021	2	3	16	0	SPO-SE312888_00005_100
65	6.21999999	2021	2	3	17	0	SPO-SE312888_00005_100
66	7.08999999	2021	2	3	18	0	SPO-SE312888_00005_100
67	6.23	2021	2	3	19	0	SPO-SE312888_00005_100
68	5.34999999	2021	2	3	20	0	SPO-SE312888_00005_100
69	5.12	2021	2	3	21	0	SPO-SE312888_00005_100
70	5.2	2021	2	3	22	0	SPO-SE312888_00005_100
71	4.4	2021	2	3	23	0	SPO-SE312888_00005_100
72	3.79999999	2021	2	4	0	0	SPO-SE312888_00005_100
73	3.47	2021	2	4	1	0	SPO-SE312888_00005_100
74	3.16	2021	2	4	2	0	SPO-SE312888_00005_100
75	3.0	2021	2	4	3	0	SPO-SE312888_00005_100
76	2.96	2021	2	4	4	0	SPO-SE312888_00005_100
77	2.7	2021	2	4	5	0	SPO-SE312888_00005_100
78	3.27	2021	2	4	6	0	SPO-SE312888_00005_100
79	3.22	2021	2	4	7	0	SPO-SE312888_00005_100
80	4.03	2021	2	4	8	0	SPO-SE312888_00005_100
81	4.12	2021	2	4	9	0	SPO-SE312888_00005_100
82	4.07	2021	2	4	10	0	SPO-SE312888_00005_100
83	3.93	2021	2	4	11	0	SPO-SE312888_00005_100
84	3.77	2021	2	4	12	0	SPO-SE312888_00005_100
85	3.93	2021	2	4	13	0	SPO-SE312888_00005_100
86	3.77	2021	2	4	14	0	SPO-SE312888_00005_100
87	3.73	2021	2	4	15	0	SPO-SE312888_00005_100
88	4.83999999	2021	2	4	16	0	SPO-SE312888_00005_100
89	4.36	2021	2	4	17	0	SPO-SE312888_00005_100
90	4.04999999	2021	2	4	18	0	SPO-SE312888_00005_100
91	4.08999999	2021	2	4	19	0	SPO-SE312888_00005_100
92	3.5	2021	2	4	20	0	SPO-SE312888_00005_100
93	3.16999999	2021	2	4	21	0	SPO-SE312888_00005_100
94	2.71	2021	2	4	22	0	SPO-SE312888_00005_100
95	2.74	2021	2	4	23	0	SPO-SE312888_00005_100
96	2.48	2021	2	5	0	0	SPO-SE312888_00005_100
97	2.45	2021	2	5	1	0	SPO-SE312888_00005_100
98	2.99	2021	2	5	2	0	SPO-SE312888_00005_100
99	2.22	2021	2	5	3	0	SPO-SE312888_00005_100
100	2.18	2021	2	5	4	0	SPO-SE312888_00005_100
101	2.16	2021	2	5	5	0	SPO-SE312888_00005_100
102	2.6	2021	2	5	6	0	SPO-SE312888_00005_100
103	3.12999999	2021	2	5	7	0	SPO-SE312888_00005_100
104	3.83	2021	2	5	8	0	SPO-SE312888_00005_100
105	5.41999999	2021	2	5	9	0	SPO-SE312888_00005_100
106	4.24	2021	2	5	10	0	SPO-SE312888_00005_100
107	3.83999999	2021	2	5	11	0	SPO-SE312888_00005_100
108	3.43999999	2021	2	5	12	0	SPO-SE312888_00005_100
109	4.36	2021	2	5	13	0	SPO-SE312888_00005_100
110	4.29999999	2021	2	5	14	0	SPO-SE312888_00005_100
111	4.71	2021	2	5	15	0	SPO-SE312888_00005_100
112	5.96	2021	2	5	16	0	SPO-SE312888_00005_100
113	6.98	2021	2	5	17	0	SPO-SE312888_00005_100
114	10.05	2021	2	5	18	0	SPO-SE312888_00005_100
115	7.71999999	2021	2	5	19	0	SPO-SE312888_00005_100
116	6.71999999	2021	2	5	20	0	SPO-SE312888_00005_100
117	5.44	2021	2	5	21	0	SPO-SE312888_00005_100
118	4.79999999	2021	2	5	22	0	SPO-SE312888_00005_100
119	4.0	2021	2	5	23	0	SPO-SE312888_00005_100
120	4.08999999	2021	2	6	0	0	SPO-SE312888_00005_100
121	3.66999999	2021	2	6	1	0	SPO-SE312888_00005_100
122	3.31	2021	2	6	2	0	SPO-SE312888_00005_100
123	3.14	2021	2	6	3	0	SPO-SE312888_00005_100
124	3.02999999	2021	2	6	4	0	SPO-SE312888_00005_100
125	2.97	2021	2	6	5	0	SPO-SE312888_00005_100
126	2.37999999	2021	2	6	6	0	SPO-SE312888_00005_100
127	2.29999999	2021	2	6	7	0	SPO-SE312888_00005_100
128	2.45999999	2021	2	6	8	0	SPO-SE312888_00005_100
129	2.79	2021	2	6	9	0	SPO-SE312888_00005_100
130	2.33	2021	2	6	10	0	SPO-SE312888_00005_100
131	2.5	2021	2	6	11	0	SPO-SE312888_00005_100
132	2.62999999	2021	2	6	12	0	SPO-SE312888_00005_100
133	2.18999999	2021	2	6	13	0	SPO-SE312888_00005_100
134	2.02	2021	2	6	14	0	SPO-SE312888_00005_100
135	2.02	2021	2	6	15	0	SPO-SE312888_00005_100
136	2.43999999	2021	2	6	16	0	SPO-SE312888_00005_100
137	2.27999999	2021	2	6	17	0	SPO-SE312888_00005_100
138	3.66999999	2021	2	6	18	0	SPO-SE312888_00005_100
139	4.67999999	2021	2	6	19	0	SPO-SE312888_00005_100
140	2.91	2021	2	6	20	0	SPO-SE312888_00005_100
141	4.75	2021	2	6	21	0	SPO-SE312888_00005_100
142	2.27	2021	2	6	22	0	SPO-SE312888_00005_100
143	1.97	2021	2	6	23	0	SPO-SE312888_00005_100
