	StationCode	SamplingPoint
0	FI_5_15458	SPO-FI00356_00005_100
1	FI_5_15476	SPO-FI00080_00005_100
2	FI_5_15487	SPO-FI00425_00005_100
3	FI_5_15489	SPO-FI00179_00005_100
4	FI_5_15501	SPO-FI00184_00005_100
5	FI_5_15505	SPO-FI00564_00005_100
6	FI_5_15512	SPO-FI00455_00005_100
7	FI_5_15531	SPO-FI00431_00005_100
8	FI_5_15549	SPO-FI00511_00005_100
9	FI_5_15554	SPO-FI00378_00005_100
10	FI_5_15557	SPO-FI00301_00005_100
11	FI_5_15578	SPO-FI00893_00005_100
12	FI_5_15584	SPO-FI00558_00005_100
13	FI_5_15609	SPO-FI00446_00005_100
14	FI_5_15614	SPO-FI00606_00005_100
15	FI_5_15624	SPO-FI00438_00005_100
16	FI_5_15630	SPO-FI00838_00005_100
17	FI_5_15643	SPO-FI00839_00005_100
18	FI_5_15649	SPO-FI00404_00005_100
19	FI_5_15677	SPO-FI00546_00005_100
20	FI_5_15691	SPO-FI00570_00005_100
21	FI_5_15731	SPO-FI00586_00005_100
22	FI_5_15774	SPO-FI00208_00005_101
23	FI_5_15785	SPO-FI00424_00005_100
24	FI_5_15803	SPO-FI00841_00005_100
25	FI_5_15806	SPO-FI00370_00005_100
26	FI_5_15839	SPO-FI00283_00005_100
27	FI_5_15853	SPO-FI00781_00005_100
28	FI_5_15870	SPO-FI00549_00005_100
29	FI_5_15904	SPO-FI00434_00005_100
30	FI_5_15938	SPO-FI00397_00005_100
31	FI_5_15986	SPO-FI00465_00005_100
32	FI_5_15988	SPO-FI00433_00005_100
33	FI_5_34794	SPO-FI00889_00005_100
34	FI_5_50409	SPO-FI00902_00005_100
35	FI_5_56712	SPO-FI00892_00005_100
36	FI_5_60955	SPO-FI00928_00005_100
37	FI_5_69637	SPO-FI00952_00005_100
38	FI_5_69642	SPO-FI00972_00005_100
39	FI_5_70766	SPO-FI00444_00005_100
40	FI_5_78715	SPO-FI00349_00005_100
41	FI_5_78717	SPO-FI00427_00005_100
42	IS_5_23743	SPO-IS0025A_00005_100
43	IS_5_45497	SPO-IS0006A_00005_100
44	IS_5_45503	SPO-IS0005A_00005_102
45	IS_5_45504	SPO-IS0002A_00005_101
46	IS_5_52109	SPO-IS0037A_00005_100
47	IS_5_52149	SPO-IS0041A_00005_100
48	IS_5_61402	SPO-IS0046A_00005_101
49	IS_5_61403	SPO-IS0049A_00005_100
50	IS_5_61404	SPO-IS0050A_00005_100
51	IS_5_61443	SPO-IS0052A_00005_100
