StationCode,SamplingPoint,"""Countrycode",Timezone,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,AirQualityStationNatCode,SamplingProces,Sample,AirPollutantCode,ObservationDateBegin,ObservationDateEnd,Projection,Longitude,Latitude,Altitude,MeasurementType,AirQualityStationType,AirQualityStationArea,EquivalenceDemonstrated,MeasurementEquipment,InletHeight,BuildingDistance,"KerbDistance""",Air Quality Station Name
FI_5_15458,SPO-FI00356_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI002A,STA-FI00356,FI00356,356,SPP-FI_A_BETA_thermo5030SHARP,SPO_F-FI00356_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2011-01-01T00:00:00,,EPSG:4979,24.112330000000004,67.96714999962705,566.0,automatic,background,rural,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,5,-999,"-999""",,Sammaltunturi
FI_5_15476,SPO-FI00080_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00080,FI00080,80,SPP-FI_A_1119_21_5,SPO_F-FI00080_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-11-08T00:00:00,2018-01-01T00:00:00,EPSG:4979,28.873690000000003,61.238069999547584,101.0,automatic,industrial,suburban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,4,1,"20""",Rautionkylä
FI_5_15487,SPO-FI00425_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00425,FI00425,425,SPP-FI_A_1413_7_5,SPO_F-FI00425_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-25T00:00:00,,EPSG:4979,24.9506,60.18738999953731,18.0,automatic,background,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,4,-999,"65""",Kallio 2
FI_5_15489,SPO-FI00179_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI026A,STA-FI00179,FI00179,179,SPP-FI_A_1425_31_5,SPO_F-FI00179_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-01-01T00:00:00,2022-04-07T00:00:00,EPSG:4979,22.14306,61.331639999548514,39.0,automatic,industrial,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,6,"100""",Pirkkala
FI_5_15501,SPO-FI00184_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI026A,STA-FI00184,FI00184,184,SPP-FI_N_IC_00655,SPO_F-FI00184_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,22.1369,61.314499999548346,37.0,active,industrial,suburban,4,10,"500""",,,Kaleva
FI_5_15505,SPO-FI00564_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00564,FI00564,564,SPP-FI_A_45_7_5,SPO_F-FI00564_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2005-01-04T00:00:00,2017-01-01T00:00:00,EPSG:4979,24.93924,60.16963999953714,7.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,4,6,"3""",Mannerheimintie
FI_5_15512,SPO-FI00455_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI012A,STA-FI00455,FI00455,455,SPP-FI_N_IC_00655,SPO_F-FI00455_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,25.65489,60.96703999954487,85.0,active,traffic,suburban,4,31,"30""",,,Laune
FI_5_15531,SPO-FI00431_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI011A,STA-FI00431,FI00431,431,SPP-FI_A_1606_23_5,SPO_F-FI00431_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-01-01T00:00:00,2022-01-13T00:00:00,EPSG:4979,25.71114,62.289909999558496,143.0,automatic,background,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200S,4,-999,"150""",Palokka 2
FI_5_15549,SPO-FI00511_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI032A,STA-FI00511,FI00511,511,SPP-FI_A_1596_37_5,SPO_F-FI00511_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-06-12T00:00:00,2021-01-01T00:00:00,EPSG:4979,29.763400000000004,62.59908999956178,80.0,automatic,background,urban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200E,6,-999,"35""",Koskikatu 1
FI_5_15554,SPO-FI00378_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00378,FI00378,378,SPP-FI_A_1416_21_5,SPO_F-FI00378_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-01T00:00:00,,EPSG:4979,28.26409,61.071939999545926,105.0,automatic,traffic,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,1,"50""",Lauritsala
