	B-G Namespace	Year	Air Quality Network	Air Quality Network Name	Timezone	Air Quality Station EoI Code	Air Quality Station Nat Code	Air Quality Station Name	Sampling Point Id	Air Pollutant	Longitude	Latitude	Altitude	Altitude Unit	Air Quality Station Area	Air Quality Station Type	Operational Activity Begin	Operational Activity End	Sample Id	Inlet Height	Inlet Height Unit	Building Distance	Building Distance Unit	Kerb Distance	Kerb Distance Unit	Distance Source	Distance Source Unit	Main Emission Sources	Heating Emissions	Heating Emissions Unit	Mobile	Traffic Emissions	Traffic Emissions Unit	Industrial Emissions	Industrial Emissions Unit	Municipality	Dispersion Local	Dispersion Regional	Distance Junction	Distance Junction Unit	Heavy Duty Fraction	Height Facades	Street Width	Traffic Speed	Traffic Volume	Process Id	Process Activity Begin	Process Activity End	Measurement Type	Measurement Method	Other Measurement Method	Measurement Equipment	Other Measurement Equipment	Sampling Method	Other Sampling Method	Analytical Technique	Other Analytical Technique	Equivalence Demonstrated	Demonstration Report	Detection Limit	Detection Limit Unit	Documentation	QA Report	Duration	Duration Unit	Cadence	Cadence Unit	Source Data URL	Imported	Unnamed: 70	Unnamed: 71
0	DK.NERI.AQ	2023	NET-DK004A	Danish Air Quality Monitoring Programme	UTC+01	DK0034A	1103	Copenhagen/1103	SPO-DK0034A_00005_100	PM10	12.5711	55.6743	5.0	m	urban	traffic	2004-01-01T00:00:00		SPO_F-DK0034A_00005_100_100	3.7	m	10	m	5	m			Long-range transboundary transport			0					Maria									51000	SPP-DK_N_0020200202			active							gravi		no				In preparation	In preparation	0	variable	0	other	http://cdr.eionet.europa.eu/dk/eu/aqd/d/colzkx7sa/envzkx7dg/REP_D-DK_NERI_20240708_D-001.xml	2024-07-09T02:00:09.590		
1	DK.NERI.AQ	2023	NET-DK004A	Danish Air Quality Monitoring Programme	UTC+01	DK0012R		Risoe	SPO-DK0012R_00005_101	PM10	12.0889	55.6942	3.0	m	rural-regional	background	2010-07-06T00:00:00		SPO_F-DK0012R_00005_101_101	4.1	m							Long-range transboundary transport			0					Vor Frelsers										SPP-DK_N_0020200202			active							gravi		no				In preparation	In preparation	0	variable	0	other	http://cdr.eionet.europa.eu/dk/eu/aqd/d/colzkx7sa/envzkx7dg/REP_D-DK_NERI_20240708_D-001.xml	2024-07-09T02:00:09.590		
2	FI.FMI.AQ	2023	NET-FI001A	Raahen verkko	UTC+02	FI00570	570	Raahen keskusta 2	SPO-FI00570_00005_100	PM10	24.4816	64.6834	3.0	m	urban	traffic	2005-01-01T00:00:00		SPO_F-FI00570_00005_100_100	4.2	m	10	m	4	m	5000	m	Transport			0					Raahe	canyon		22		0.07		7	30	6000	SPP-FI_A_1490_36_5			automatic	TEOM		TEOM1400A						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Kuopio_2017.pdf	-999	ug.m-3		https://raahe.fi/sites/raahe.fi/files/liitetiedostot/Elinymp%C3%A4rist%C3%B6/Raahen%20ilmanlaadun%20mittausten%20laatuj%C3%A4rjestelm%C3%A4n%20kuvaus.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
3	FI.FMI.AQ	2023	NET-FI002A	Ilmatieteen laitoksen verkko	UTC+02	FI00349	349	UtÃ¶	SPO-FI00349_00005_100	PM10	21.374	59.7792	7.0	m	rural	background	2021-11-17T00:00:00		SPO_F-FI00349_00005_100_100	4.5	m							Long-range transboundary transport			0					Parainen										SPP-FI_A_1589_1_5			automatic	light-scat		FIDAS200E						yes	https://helda.helsinki.fi/handle/10138/338137			Kts. Web linkki	http://expo.fmi.fi/aqes/public/Ilmatieteen_laitoksen_ilmanlaatumittausten_laatujarjestelmien_kuvaus.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
4	FI.FMI.AQ	2023	NET-FI002A	Ilmatieteen laitoksen verkko	UTC+02	FI00427	427	Matorova	SPO-FI00427_00005_100	PM10	24.2457	68.0005	340.0	m	rural-regional	background	2021-11-17T00:00:00		SPO_F-FI00427_00005_100_100	5	m							Long-range transboundary transport			0					KittilÃ¤	elevated									SPP-FI_A_1589_1_5			automatic	light-scat		FIDAS200E						yes	https://helda.helsinki.fi/handle/10138/338137			Kts. Web linkki	http://expo.fmi.fi/aqes/public/Ilmatieteen_laitoksen_ilmanlaatumittausten_laatujarjestelmien_kuvaus.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
5	FI.FMI.AQ	2023	NET-FI002A	Ilmatieteen laitoksen verkko	UTC+02	FI00893	893	Virolahti 2	SPO-FI00893_00005_100	PM10	27.6754	60.53	4.0	m	rural	background	2013-12-12T00:00:00		SPO_F-FI00893_00005_100_100	5	m							Long-range transboundary transport			0					Virolahti										SPP-FI_A_1174_1_5			automatic	nephelometry+beta		thermo5030SHARP						yes	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Helsinki_2010.pdf	-999	ug.m-3	Kts. Web linkki	http://expo.fmi.fi/aqes/public/Ilmatieteen_laitoksen_ilmanlaatumittausten_laatujarjestelmien_kuvaus.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
6	FI.FMI.AQ	2023	NET-FI003A	Tampereen verkko	UTC+02	FI00549	549	Pirkankatu	SPO-FI00549_00005_100	PM10	23.7357	61.4987	120.0	m	urban	traffic	2004-03-19T00:00:00		SPO_F-FI00549_00005_100_100	4	m	10	m	15	m	15	m	Transport			0					Tampere	elevated		40		0.09	15	16	40	9550	SPP-FI_A_133_10_5			automatic	TEOM		TEOM1400A						yes	http://cdn.fmi.fi/legacy-fmi-fi-content/documents/FINal_PM_Report.pdf	1	ug.m-3	http://www.ilmanlaatu.fi/ilmansaasteet/julkaisu/pdf/vertailulab/PM-equivalence%20report-FMI.pdf	http://www.tampere.fi/asuminen-ja-ymparisto/ymparisto-ja-luonto/ymparistonsuojelu/ilmanlaatu.html	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
7	FI.FMI.AQ	2023	NET-FI003A	Tampereen verkko	UTC+02	FI00838	838	Epila 2	SPO-FI00838_00005_100	PM10	23.6758	61.5085	100.0	m	suburban	traffic	2009-11-18T00:00:00		SPO_F-FI00838_00005_100_100	4	m	12	m	8	m	20	m	Transport			0					Tampere	elevated				0.07	10	11	50	9830	SPP-FI_A_1106_10_5			automatic	nephelometry		GRIMM-EDM180						inprogress		1	ug.m-3	http://expo.fmi.fi/aqes/public/PM_Equivalence%20report%20Helsinki_2010.pdf	http://www.tampere.fi/asuminen-ja-ymparisto/ymparisto-ja-luonto/ymparistonsuojelu/ilmanlaatu.html	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
8	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00208	208	Luukki	SPO-FI00208_00005_101	PM10	24.6849	60.3144	55.0	m	rural	background	1999-01-01T00:00:00		SPO_F-FI00208_00005_101_101	4.5	m							Long-range transboundary transport			0					Espoo	open				0.04			80		SPP-FI_A_1598_7_5			automatic	light-scat		FIDAS200						yes	https://helda.helsinki.fi/handle/10138/338137	0.00087	ug.m-3		http://ilmanlaatu.hsy.fi/www/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
9	FI.FMI.AQ	2023	NET-FI004A	Helsingin seudun verkko (HSY)	UTC+02	FI00370	370	Tikkurila 3	SPO-FI00370_00005_100	PM10	25.0395	60.2899	18.0	m	urban	traffic	1998-01-01T00:00:00		SPO_F-FI00370_00005_100_100	4	m	35	m	10	m			Other			0					Vantaa	open		27		0.07		7	50	12100	SPP-FI_A_1098_7_5			automatic	nephelometry		GRIMM-EDM180						yes	http://www.grimm-aerosol.com/en/company/approvals-and-certificates.html	-999	ug.m-3	katso laatudokumentti	http://ilmansuojelu.ytv.kaapeli.fi/info/Mittaus_ja_laatusuunnitelma.pdf	1	hour	1	hour	http://cdr.eionet.europa.eu/fi/eu/aqd/d/envzxbhhw/FI_D_2023_v1.xml	2023-12-13T13:00:55.980		
