	Station Code	Station Name	Country	Station type	Latitude	Longitude	Network	PM10 24h mean forecast	PM10 48h mean forecast	Today air quality	Tomorrow air quality
0	SPO-DK0034A_00005_100	Copenhagen/1103	Denmark	traffic	55.6743	12.5711	European Envioronmental Agency (EEA)	16.400883923406187	16.690877085146695	Good	Good
1	SPO-DK0012R_00005_101	Risoe	Denmark	background	55.6942	12.0889	European Envioronmental Agency (EEA)	7.941193974536398	9.760504701863164	Good	Good
2	SPO-FI00570_00005_100	Raahen keskusta 2	Finland	traffic	64.6834	24.4816	European Envioronmental Agency (EEA)	23.52376995915952	13.997198001198146	Good	Good
3	SPO-FI00349_00005_100	UtÃ¶	Finland	background	59.7792	21.374	European Envioronmental Agency (EEA)	5.168018465456755	6.009137298749841	Good	Good
4	SPO-FI00427_00005_100	Matorova	Finland	background	68.0005	24.2457	European Envioronmental Agency (EEA)	1.6245032600734546	1.4209836047628652	Good	Good
5	SPO-FI00893_00005_100	Virolahti 2	Finland	background	60.53	27.6754	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
6	SPO-FI00549_00005_100	Pirkankatu	Finland	traffic	61.4987	23.7357	European Envioronmental Agency (EEA)	10.653962529223898	9.306896479233451	Good	Good
7	SPO-FI00838_00005_100	Epila 2	Finland	traffic	61.5085	23.6758	European Envioronmental Agency (EEA)	7.38808708605559	8.530634009319803	Good	Good
8	SPO-FI00208_00005_101	Luukki	Finland	background	60.3144	24.6849	European Envioronmental Agency (EEA)	4.492353283840677	4.966486360715783	Good	Good
9	SPO-FI00370_00005_100	Tikkurila 3	Finland	traffic	60.2899	25.0395	European Envioronmental Agency (EEA)	7.7585420297539756	10.523596898369167	Good	Good
10	SPO-FI00425_00005_100	Kallio 2	Finland	background	60.1874	24.9506	European Envioronmental Agency (EEA)	7.749783899473107	6.955853151238483	Good	Good
11	SPO-FI00564_00005_100	Mannerheimintie	Finland	traffic	60.1696	24.9392	European Envioronmental Agency (EEA)	12.784057161082393	11.500931428826373	Good	Good
12	SPO-FI00781_00005_100	VartiokylÃ¤ Huivipolku	Finland	background	60.2239	25.1024	European Envioronmental Agency (EEA)	5.660453982975172	7.456076476884925	Good	Good
13	SPO-FI00841_00005_100	LeppÃ¤vaara 4	Finland	traffic	60.2202	24.8113	European Envioronmental Agency (EEA)	9.231116999750553	10.959819285765938	Good	Good
14	SPO-FI00902_00005_100	MÃ¤kelÃ¤nkatu	Finland	traffic	60.1964	24.952	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
15	SPO-FI00301_00005_100	PyykÃ¶sjÃ¤rvi	Finland	background	65.0434	25.4979	European Envioronmental Agency (EEA)	19.72650092581044	12.079108424808668	Good	Good
16	SPO-FI00446_00005_100	Oulun keskusta 2	Finland	traffic	65.01	25.4713	European Envioronmental Agency (EEA)	27.15496643729832	19.386774726535965	Moderate	Good
17	SPO-FI00952_00005_100	JyvÃ¤skylÃ¤ Hannikaisenkatu	Finland	traffic	62.2382	25.7479	European Envioronmental Agency (EEA)	8.481430634208348	8.208961072175398	Good	Good
18	SPO-FI00455_00005_100	Laune	Finland	traffic	60.967	25.6549	European Envioronmental Agency (EEA)	7.453025797139043	8.75912094116211	Good	Good
19	SPO-FI00889_00005_100	Saimaankatu	Finland	traffic	60.9913	25.6658	European Envioronmental Agency (EEA)	9.645520251730215	10.317059392514436	Good	Good
20	SPO-FI00444_00005_100	Naantalin keskusta	Finland	traffic	60.4674	22.0284	European Envioronmental Agency (EEA)	9.804483828337297	9.78199807457302	Good	Good
21	SPO-FI00558_00005_100	Maaherrankatu	Finland	traffic	62.8933	27.6869	European Envioronmental Agency (EEA)	8.289691779924476	6.396223710930866	Good	Good
22	SPO-FI00839_00005_100	Tasavallankatu	Finland	traffic	62.882	27.6619	European Envioronmental Agency (EEA)	17.04666058913521	11.637533872023873	Good	Good
23	SPO-FI00928_00005_100	Pori Paanakedonkatu	Finland	traffic	61.4823	21.8133	European Envioronmental Agency (EEA)	24.924749084140945	17.507677244103473	Good	Good
24	SPO-FI00080_00005_100	RautionkylÃ¤	Finland	traffic	61.2381	28.8737	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
25	SPO-FI00378_00005_100	Lauritsala	Finland	traffic	61.0719	28.2641	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
