	Station Code	Station Name	Country	Station type	Latitude	Longitude	Network	PM10 24h mean forecast	PM10 48h mean forecast	Today air quality	Tomorrow air quality
0	SPO-DK0034A_00005_100	Copenhagen/1103	Denmark	traffic	55.6743	12.5711	European Envioronmental Agency (EEA)	22.9303908555404	22.465142332989238	Good	Good
1	SPO-DK0012R_00005_101	Risoe	Denmark	background	55.6942	12.0889	European Envioronmental Agency (EEA)	10.466560032056725	11.063082819399627	Good	Good
2	SPO-FI00570_00005_100	Raahen keskusta 2	Finland	traffic	64.6834	24.4816	European Envioronmental Agency (EEA)	4.359599154928456	4.7586371846821	Good	Good
3	SPO-FI00349_00005_100	UtÃ¶	Finland	background	59.7792	21.374	European Envioronmental Agency (EEA)	5.601898276287576	5.037275552749634	Good	Good
4	SPO-FI00427_00005_100	Matorova	Finland	background	68.0005	24.2457	European Envioronmental Agency (EEA)	1.224738385366357	1.6387948575227156	Good	Good
5	SPO-FI00893_00005_100	Virolahti 2	Finland	background	60.53	27.6754	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
6	SPO-FI00549_00005_100	Pirkankatu	Finland	traffic	61.4987	23.7357	European Envioronmental Agency (EEA)	5.409535102222277	6.7365148585775625	Good	Good
7	SPO-FI00838_00005_100	Epila 2	Finland	traffic	61.5085	23.6758	European Envioronmental Agency (EEA)	4.861189645269643	5.548911312352056	Good	Good
8	SPO-FI00208_00005_101	Luukki	Finland	background	60.3144	24.6849	European Envioronmental Agency (EEA)	4.819926749105039	4.879273352415665	Good	Good
9	SPO-FI00370_00005_100	Tikkurila 3	Finland	traffic	60.2899	25.0395	European Envioronmental Agency (EEA)	9.755001275435738	10.298228533371635	Good	Good
10	SPO-FI00425_00005_100	Kallio 2	Finland	background	60.1874	24.9506	European Envioronmental Agency (EEA)	6.810520680054374	7.621243559795877	Good	Good
11	SPO-FI00564_00005_100	Mannerheimintie	Finland	traffic	60.1696	24.9392	European Envioronmental Agency (EEA)	10.618916760320248	11.974040891813194	Good	Good
12	SPO-FI00781_00005_100	VartiokylÃ¤ Huivipolku	Finland	background	60.2239	25.1024	European Envioronmental Agency (EEA)	6.2255623755247695	6.812207025030385	Good	Good
13	SPO-FI00841_00005_100	LeppÃ¤vaara 4	Finland	traffic	60.2202	24.8113	European Envioronmental Agency (EEA)	9.835781864497973	10.776208970857704	Good	Good
14	SPO-FI00902_00005_100	MÃ¤kelÃ¤nkatu	Finland	traffic	60.1964	24.952	European Envioronmental Agency (EEA)			Very unhealthy	Very unhealthy
15	SPO-FI00301_00005_100	PyykÃ¶sjÃ¤rvi	Finland	background	65.0434	25.4979	European Envioronmental Agency (EEA)	5.573267698287964	6.3209384524303935	Good	Good
16	SPO-FI00446_00005_100	Oulun keskusta 2	Finland	traffic	65.01	25.4713	European Envioronmental Agency (EEA)	6.205621242523193	7.232519999794338	Good	Good
17	SPO-FI00952_00005_100	JyvÃ¤skylÃ¤ Hannikaisenkatu	Finland	traffic	62.2382	25.7479	European Envioronmental Agency (EEA)	4.572676544604094	5.711225437081379	Good	Good
18	SPO-FI00455_00005_100	Laune	Finland	traffic	60.967	25.6549	European Envioronmental Agency (EEA)	13.168932375700578	10.227058452108633	Good	Good
19	SPO-FI00889_00005_100	Saimaankatu	Finland	traffic	60.9913	25.6658	European Envioronmental Agency (EEA)	25.569153827169668	18.550882256549336	Moderate	Good
20	SPO-FI00444_00005_100	Naantalin keskusta	Finland	traffic	60.4674	22.0284	European Envioronmental Agency (EEA)	8.62406473574431	8.547570083452309	Good	Good
21	SPO-FI00558_00005_100	Maaherrankatu	Finland	traffic	62.8933	27.6869	European Envioronmental Agency (EEA)	4.838149671969206	5.848957103231679	Good	Good
