Station Code	Station Name	Country	Network	Station type	Latitude	Longitude	Date	PM10 mean concentration (microg/m^3)	PM10 24h mean forecast	PM10 48h mean forecast	Forecast Quality
SPO-DK0034A_00005_100	Copenhagen/1103	Denmark	European Envioronmental Agency (EEA)	traffic	55.6743	12.5711					
SPO-DK0012R_00005_101	Risoe	Denmark	European Envioronmental Agency (EEA)	background	55.6942	12.0889					
SPO-FI00570_00005_100	Raahen keskusta 2	Finland	European Envioronmental Agency (EEA)	traffic	64.6834	24.4816					
SPO-FI00349_00005_100	UtÃ¶	Finland	European Envioronmental Agency (EEA)	background	59.7792	21.374					
SPO-FI00427_00005_100	Matorova	Finland	European Envioronmental Agency (EEA)	background	68.0005	24.2457					
SPO-FI00893_00005_100	Virolahti 2	Finland	European Envioronmental Agency (EEA)	background	60.53	27.6754					
SPO-FI00549_00005_100	Pirkankatu	Finland	European Envioronmental Agency (EEA)	traffic	61.4987	23.7357					
SPO-FI00838_00005_100	Epila 2	Finland	European Envioronmental Agency (EEA)	traffic	61.5085	23.6758					
SPO-FI00208_00005_101	Luukki	Finland	European Envioronmental Agency (EEA)	background	60.3144	24.6849					
SPO-FI00370_00005_100	Tikkurila 3	Finland	European Envioronmental Agency (EEA)	traffic	60.2899	25.0395					
SPO-FI00425_00005_100	Kallio 2	Finland	European Envioronmental Agency (EEA)	background	60.1874	24.9506					
SPO-FI00564_00005_100	Mannerheimintie	Finland	European Envioronmental Agency (EEA)	traffic	60.1696	24.9392					
SPO-FI00781_00005_100	VartiokylÃ¤ Huivipolku	Finland	European Envioronmental Agency (EEA)	background	60.2239	25.1024					
SPO-FI00841_00005_100	LeppÃ¤vaara 4	Finland	European Envioronmental Agency (EEA)	traffic	60.2202	24.8113					
SPO-FI00902_00005_100	MÃ¤kelÃ¤nkatu	Finland	European Envioronmental Agency (EEA)	traffic	60.1964	24.952					
SPO-FI00301_00005_100	PyykÃ¶sjÃ¤rvi	Finland	European Envioronmental Agency (EEA)	background	65.0434	25.4979					
SPO-FI00446_00005_100	Oulun keskusta 2	Finland	European Envioronmental Agency (EEA)	traffic	65.01	25.4713					
SPO-FI00952_00005_100	JyvÃ¤skylÃ¤ Hannikaisenkatu	Finland	European Envioronmental Agency (EEA)	traffic	62.2382	25.7479					
SPO-FI00455_00005_100	Laune	Finland	European Envioronmental Agency (EEA)	traffic	60.967	25.6549					
